t0,x,y,sigma,gamma,e,theta_e,theta_gamma,zs,zl,snx,sny,MB,mu,sysno,imno,mag,x0,x1,c,twinkles_sysno,bulge_magnorm,r_eff,lens_sed,t_start
17.03,-0.0276,-0.0748,207.980931383,0.051844415173,0.302402264288,292.489990006,102.423141094,0.601153954555,0.494138017572,0.0147925206309,0.115334416051,-19.1288842529,-0.7997,11532,1,23.5028507851,5.67075707339e-06,0.0,0.0,1301,21.3912601471,0.65637046969,Burst.62E09.04Z.spec,60534.5149505
26.959,-0.0762,-0.2586,231.225570629,0.025135779204,0.109152390278,4.9926159149,309.370519294,0.753387513601,0.50147759487,0.0517030939895,0.155605921422,-19.4525827175,-1.3766,11541,0,23.5092140345,4.37757448947e-06,0.0,0.0,1302,19.2161102295,1.8558521557,Exp.32E09.02Z.spec,59971.0426904
0.0,0.1839,0.5648,231.225570629,0.025135779204,0.109152390278,4.9926159149,309.370519294,0.753387513601,0.50147759487,0.0517030939895,0.155605921422,-19.4525827175,4.6067,11541,1,22.1977586205,4.37757448947e-06,0.0,0.0,1302,19.2161102295,1.8558521557,Exp.32E09.02Z.spec,59944.0836904
0.0,-0.3572,0.3348,164.608367305,0.0408042953159,0.191466750785,285.145229104,137.017900148,0.846937669131,0.38780095831,-0.0802506397328,0.0438222604452,-19.2368498798,3.3154,11583,0,23.2435895822,2.68238464799e-06,0.0,0.0,1303,20.4980602264,1.20980788114,Burst.62E09.04Z.spec,60298.8328036
6.8,0.2811,-0.0428,164.608367305,0.0408042953159,0.191466750785,285.145229104,137.017900148,0.846937669131,0.38780095831,-0.0802506397328,0.0438222604452,-19.2368498798,-2.5527,11583,1,23.5274299691,2.68238464799e-06,0.0,0.0,1303,20.4980602264,1.20980788114,Burst.62E09.04Z.spec,60305.6328036
0.0,-0.7295,1.0714,178.293179428,0.0441239084691,0.206038027725,260.173942266,316.460797253,0.58269262712,0.104506641724,-0.316151575245,0.407570375722,-19.6987164393,2.1447,11695,0,21.7806537615,1.03455859133e-05,0.0,0.0,1305,17.6392097473,1.5486208376,Inst.40E09.04Z.spec,60182.8374137
12.43,0.1497,-0.1564,178.293179428,0.0441239084691,0.206038027725,260.173942266,316.460797253,0.58269262712,0.104506641724,-0.316151575245,0.407570375722,-19.6987164393,-0.4355,11695,1,23.5115997426,1.03455859133e-05,0.0,0.0,1305,17.6392097473,1.5486208376,Inst.40E09.04Z.spec,60195.2674137
0.0,0.4841,0.3565,139.963309175,0.0377354241883,0.0716923943609,93.8632808352,359.253842965,0.758023690552,0.198879368012,0.156981918609,0.13165436449,-19.3167750701,2.9193,11703,0,22.8590021743,3.80450964328e-06,0.0,0.0,1306,18.7359695435,1.80675339195,Inst.25E09.02Z.spec,60323.9776162
5.452,-0.1449,-0.1188,139.963309175,0.0377354241883,0.0716923943609,93.8632808352,359.253842965,0.758023690552,0.198879368012,0.156981918609,0.13165436449,-19.3167750701,-0.9035,11703,1,24.1323786002,3.80450964328e-06,0.0,0.0,1306,18.7359695435,1.80675339195,Inst.25E09.02Z.spec,60329.4296162
0.0,0.04,-0.2333,123.383180743,0.0315154588394,0.210924286973,299.87428817,273.220951285,0.358778619069,0.238224046907,0.00990595299316,-0.0872172932631,-19.5814937596,2.0627,11715,0,20.8135897233,2.97992086007e-05,0.0,0.0,1307,20.1155796051,0.801122845909,Inst.25E09.02Z.spec,60239.9996637
