id,ra,dec,mag_norm,redshift,twinkles_id,image_num,lens_gal_id
18375711396892,53.1097261,-27.5594877,21.1686712,1.34,165,1,1837571098
18375732842524,52.7998809,-27.5616703,22.1813433,1.57,401,0,1837573146
18375732843548,52.7999338,-27.561528,23.1724688,1.57,401,1,1837573146
19624450109468,52.8231637,-27.2808257,23.6754754,1.44,515,0,1962444826
19624450110492,52.8230765,-27.2806395,23.8132668,1.44,515,1,1962444826
19946035519516,53.2418519,-27.2262327,22.2121083,1.97,78,0,1994603546
19946035520540,53.2414662,-27.2259142,21.3628457,1.97,78,1,1994603546
20034993156124,53.1669477,-27.7040227,23.0913661,2.41,751,0,2003499034
20034993157148,53.1670815,-27.7038725,23.2199159,2.41,751,1,2003499034
21586831884316,52.748133,-27.2627354,23.4456196,0.62,128,0,2158683162
21586831885340,52.7481669,-27.2625031,24.1988847,0.62,128,1,2158683162
21686651007004,53.1730852,-27.6695706,22.6437719,0.62,31,0,2168665114
21686651008028,53.1737753,-27.6692837,22.3520461,0.62,31,1,2168665114
21686651009052,53.1738046,-27.6689698,21.951444,0.62,31,2,2168665114
21686651010076,53.1731629,-27.6688727,23.3756827,0.62,31,3,2168665114
21758535790620,52.9198149,-27.4274938,20.9295595,1.54,27,0,2175853594
21758535791644,52.9203405,-27.4266615,19.3096617,1.54,27,1,2175853594
22156258639900,53.1460122,-27.2192781,23.2384038,1.57,332,0,2215625754
22156258640924,53.1458446,-27.2189988,23.6257691,1.57,332,1,2215625754
22832322617372,52.9596881,-27.6572985,18.5882669,1.33,14,0,2283232282
22832322618396,52.9600556,-27.6574034,20.3990107,1.33,14,1,2283232282
23078698098716,53.0247248,-27.6721281,20.9672675,1.59,278,0,2307869722
23078698099740,53.0248675,-27.6719005,21.1003037,1.59,278,1,2307869722
23265218875420,52.7495784,-27.3058894,20.5085828,1.52,77,0,2326521882
23265218876444,52.7490044,-27.3056906,21.5205232,1.52,77,1,2326521882
23333130735644,52.7329208,-27.5509202,21.4727172,3.73,121,0,2333313050
23333130736668,52.7326809,-27.5506327,21.1013879,3.73,121,1,2333313050
23753135505436,52.977583,-27.628391,18.8114044,1.87,348,0,2375313434
23753135506460,52.9771207,-27.6284314,20.7016775,1.87,348,1,2375313434
24537958580252,52.7100535,-27.4027876,20.3820432,0.8,44,0,2453795866
24537958581276,52.7102773,-27.4025105,22.7519229,0.8,44,1,2453795866
25132237119516,53.2581411,-27.2386339,22.3114381,1.97,78,0,2513223706
25132237120540,53.2577553,-27.2383154,21.4122358,1.97,78,1,2513223706
25553121636380,53.0851346,-27.1483034,21.258689,0.82,87,0,2555312154
25553121637404,53.085286,-27.1483555,23.0105001,0.82,87,1,2555312154
25751247556636,53.3081794,-27.322195,23.9447598,2.06,673,0,2575124506
25751247557660,53.3083865,-27.3222627,23.5666298,2.06,673,1,2575124506
25753336651804,53.0164079,-27.2841411,23.3486084,2.71,706,0,2575333402
25753336652828,53.016127,-27.2836414,23.9271454,2.71,706,1,2575333402
25753336653852,53.0167552,-27.2838277,22.6985494,2.71,706,2,2575333402
25753336654876,53.0166908,-27.2835491,22.7865825,2.71,706,3,2575333402
26111785263132,53.1729911,-27.5814134,21.6442809,0.66,74,0,2611178522
26111785264156,53.1732907,-27.5812924,21.3210213,0.66,74,1,2611178522
26652744515612,53.0652662,-27.5867107,22.2252564,1.44,204,0,2665274394
26652744516636,53.0656432,-27.5865129,22.9363142,1.44,204,1,2665274394
26652744517660,53.0651053,-27.5864933,22.4463368,1.44,204,2,2665274394
26652744518684,53.0653751,-27.5862195,22.3895052,1.44,204,3,2665274394
27245824720924,53.240325,-27.6069276,22.7069142,0.74,176,0,2724582426
27245824721948,53.2399729,-27.6067522,23.4667814,0.74,176,1,2724582426
27246421110812,52.933156,-27.7031271,21.6353592,2.62,779,0,2724641818
27246421111836,52.9332745,-27.7030331,22.7597178,2.62,779,1,2724641818
27246421112860,52.9330842,-27.7030073,22.5001858,2.62,779,2,2724641818
27246421113884,52.9332041,-27.702839,21.9544777,2.62,779,3,2724641818
27307101425692,53.0571477,-27.3511869,20.9249928,2.62,309,0,2730710042
27307101426716,53.0571412,-27.3507808,20.1990786,2.62,309,1,2730710042
28184117391388,52.828717,-27.3332627,21.5932806,1.51,535,0,2818411546
28184117392412,52.8284791,-27.33301,21.9038551,1.51,535,1,2818411546
28184117393436,52.8289294,-27.3329703,21.793477,1.51,535,2,2818411546
28184117394460,52.8287148,-27.3327956,21.4492115,1.51,535,3,2818411546
28292977983516,52.7223533,-27.3847859,24.1727649,1.57,328,0,2829297690
28292977984540,52.722328,-27.3844452,21.9828964,1.57,328,1,2829297690
28355155324956,52.9365093,-27.405485,22.5530316,1.97,343,0,2835515418
28355155325980,52.9359646,-27.4053484,23.4127114,1.97,343,1,2835515418
28765801148444,52.833645,-27.6265408,23.6738042,1.92,671,0,2876579866
28765801149468,52.8338603,-27.6264031,24.0669371,1.92,671,1,2876579866
28765801150492,52.8334873,-27.6263737,23.8447217,1.92,671,2,2876579866
28765801151516,52.8336697,-27.6262012,23.9288227,1.92,671,3,2876579866
29077793632284,52.7623752,-27.2722889,23.1366519,2.35,711,0,2907779098
29077793633308,52.7625838,-27.2721525,23.5501195,2.35,711,1,2907779098
29077793634332,52.762218,-27.2720739,23.7069483,2.35,711,2,2907779098
29077793635356,52.7624582,-27.2718989,23.3872984,2.35,711,3,2907779098
29488395182108,52.9512801,-27.5137484,23.5726232,3.44,230,0,2948839450
29488395183132,52.9517287,-27.5134179,22.5687127,3.44,230,1,2948839450
29651416145948,52.9884196,-27.3976831,23.4864922,2.26,270,0,2965141530
29651416146972,52.9880669,-27.3967573,22.6216687,2.26,270,1,2965141530
29909893857308,52.865227,-27.2589805,22.9538191,1.63,180,0,2990989338
29909893858332,52.8656802,-27.2588921,22.5108148,1.63,180,1,2990989338
29919785594908,52.8237707,-27.4262075,22.610167,0.86,155,0,2991978522
29919785595932,52.8230855,-27.4261215,22.5912842,0.86,155,1,2991978522
29919785596956,52.8236483,-27.4257271,20.5315438,0.86,155,2,2991978522
29919785597980,52.82375,-27.4257642,20.3970144,0.86,155,3,2991978522
30781379153948,53.0433162,-27.3047791,22.9385255,2.69,145,0,3078137882
30781379154972,53.0433827,-27.3046091,22.5493873,2.69,145,1,3078137882
32073279549468,52.9701843,-27.554731,23.1563369,1.44,515,0,3207327770
32073279550492,52.9700969,-27.5545448,23.675193,1.44,515,1,3207327770
32540838379548,52.9327677,-27.2868119,24.3314307,1.97,620,0,3254083610
32540838380572,52.9325826,-27.2866817,22.7939203,1.97,620,1,3254083610
32540838381596,52.9330086,-27.2866148,23.2742242,1.97,620,2,3254083610
32540838382620,52.9327022,-27.2865589,23.5760457,1.97,620,3,3254083610
32659395588124,52.7834239,-27.2870193,23.3917414,2.04,251,0,3265939482
32659395589148,52.7829155,-27.2865197,23.5951165,2.04,251,1,3265939482
32904880582684,53.0130789,-27.2385208,21.7733302,1.36,611,0,3290487834
32904880583708,53.013168,-27.2384758,22.1854525,1.36,611,1,3290487834
32904880584732,53.0130761,-27.2384246,22.5253648,1.36,611,2,3290487834
32904880585756,53.0131629,-27.2384025,21.4855844,1.36,611,3,3290487834
32932589236252,52.9229932,-27.4562194,19.4975462,1.19,419,0,3293258778
32932589237276,52.9231654,-27.4558867,20.9200561,1.19,419,1,3293258778
32932598698012,52.9247643,-27.6833125,20.7327229,1.12,229,0,3293259802
32932598699036,52.9244785,-27.6832061,19.5550422,1.12,229,1,3293259802
33246005190684,53.0984534,-27.5674339,23.6954319,2.0,486,0,3324600346
33246005191708,53.0982496,-27.5673272,24.0368067,2.0,486,1,3324600346
33246005192732,53.0985446,-27.5672489,24.1669314,2.0,486,2,3324600346
33246005193756,53.0983203,-27.5671218,23.8048397,2.0,486,3,3324600346
35088722219036,53.0800759,-27.3145027,22.5196245,1.14,73,0,3508872218
35088722220060,53.080422,-27.3144916,23.1427785,1.14,73,1,3508872218
35658744147996,53.0264519,-27.5121343,22.9027641,1.99,583,0,3565874202
35658744149020,53.0268063,-27.5121188,24.9522754,1.99,583,1,3565874202
35658744150044,53.0264894,-27.5119396,22.9158405,1.99,583,2,3565874202
35658744151068,53.0266701,-27.5118194,22.9790516,1.99,583,3,3565874202
35727575994396,52.9920228,-27.5860462,21.305548,2.42,233,0,3572757530
35727575995420,52.9922368,-27.5859333,19.9584499,2.42,233,1,3572757530
35737142558748,53.1835938,-27.5285443,22.5561714,2.6,820,0,3573713946
35737142559772,53.1837189,-27.5285439,23.8300991,2.6,820,1,3573713946
35737142560796,53.183652,-27.5284549,22.9150205,2.6,820,2,3573713946
35737142561820,53.183731,-27.528451,22.2677122,2.6,820,3,3573713946
35990561460252,52.9681491,-27.3503859,22.3918933,1.71,669,0,3599055898
35990561461276,52.9682465,-27.3505605,23.6204992,1.71,669,1,3599055898
36498360844316,53.3027436,-27.5226698,22.6006554,0.62,128,0,3649836058
36498360845340,53.3027775,-27.5224374,23.5374316,0.62,128,1,3649836058
39013120065564,52.8798116,-27.6499754,22.9056379,2.77,16,0,3901312026
39013120066588,52.8795373,-27.6494446,22.8451391,2.77,16,1,3901312026
39123407831068,53.2220028,-27.3567921,23.8110904,4.13,740,0,3912340506
39123407832092,53.2218255,-27.3570777,22.5998092,4.13,740,1,3912340506
40078737387548,52.9528432,-27.4845646,23.2092155,3.26,495,0,4007873562
40078737388572,52.9527012,-27.4843515,23.3593217,3.26,495,1,4007873562
40384594456604,53.0931551,-27.620609,22.5821693,1.75,131,0,4038459418
40384594457628,53.0928519,-27.6202774,23.0852268,1.75,131,1,4038459418
42598165856284,52.8577305,-27.2859084,21.1211794,0.9,336,0,4259816474
42598165857308,52.8576702,-27.2856923,21.4134666,0.9,336,1,4259816474
42728920137756,53.0665733,-27.2871616,21.688695,1.06,268,0,4272891930
42728920138780,53.0663422,-27.2871741,23.3282613,1.06,268,1,4272891930
43943209652252,52.9270225,-27.5502711,21.0242065,1.18,169,0,4394320922
43943209653276,52.9264667,-27.5500233,21.37253,1.18,169,1,4394320922
43943209654300,52.9271442,-27.549668,21.671347,1.18,169,2,4394320922
43943209655324,52.9264922,-27.5494469,21.0522097,1.18,169,3,4394320922
44005399924764,53.3230422,-27.5186575,22.8584171,2.98,841,0,4400539674
