obsHistIDs, filter_index, moonAlt, moonPhase, rotSkyPos, altitude, vSkyBright, filtSkyBrightness, rawSeeing, airmass, dist2Moon, sunAlt, field, ra, dec, randomDitherFieldPerVisitRA, randomDitherFieldPerVisitDec
1439971,2,-35.7925015745,3.629443,106.131206927,52.4058139148,21.389565,21.109565,0.634729,1.262069,113.173717666,-44.097753998,1212,92.1411245564,-32.9919984634,93.2132686792,-32.082599851
1439983,2,-35.971665477,3.65072,110.347947117,48.5403541499,21.344517,21.064517,0.634729,1.334366,110.632592549,-43.5580850508,1234,98.5356773248,-31.8503800566,98.0158913627,-32.3746364392
1439984,2,-35.9836975907,3.652469,112.440961942,50.1162745654,21.36352,21.08352,0.634729,1.303194,113.786954394,-43.5105868496,1333,96.2172036068,-29.4075744971,95.462883317,-29.1965541412
1439985,2,-35.9953859297,3.654218,116.079759603,48.750285886,21.3471,21.0671,0.634729,1.330069,115.56650401,-43.4626302821,1464,97.0530344383,-26.341505448,97.8014504351,-26.0573183816
1439986,2,-36.0067877899,3.65599,117.857762233,52.5586217587,21.391239,21.111239,0.634729,1.259488,119.961663257,-43.4142726442,1564,92.1208418505,-24.4157942986,93.2123041934,-23.9671110492
1439995,2,-36.0907834026,3.671968,116.757797858,56.5913851997,21.432554,21.152554,0.634729,1.197945,121.339512163,-42.9561355912,1542,89.0888637902,-24.8893439163,88.3109589619,-26.056974607
1440008,2,-36.1528347318,3.695099,109.299663535,56.2246922109,21.429021,21.149021,0.634729,1.203048,115.193737669,-42.2171346271,1323,93.1078762442,-29.9663229389,92.02832142,-31.3413070557
1440009,2,-36.1546681968,3.696854,107.683578778,59.1344010777,21.455855,21.175855,0.634729,1.164997,116.456765832,-42.1564583966,1305,89.9551759765,-30.452764107,88.329580506,-30.4119122162
1440013,2,-36.1579340562,3.70431,112.903281587,58.2103347457,21.447629,21.167629,0.634729,1.17649,118.348385993,-41.9146129112,1431,90.9908544869,-27.4389488088,91.9649124463,-26.0835598487
1440014,2,-36.1576475773,3.706121,112.494648088,51.5792649995,21.380373,21.100373,0.634729,1.276379,112.569762854,-41.8408159472,1365,99.2852207124,-28.7786387254,97.6737883653,-29.2062371279
1449301,2,0.919883740083,58.814106,77.2080682462,65.5531899607,20.76497,20.808474,0.592324,1.098486,66.2034970582,-39.9300017005,1413,87.901867126,-27.8835640578,88.4674353752,-28.1690116314
1449302,2,1.04897113133,58.809048,78.2804733513,62.9297308084,20.723542,20.767033,0.592324,1.123031,63.7121619734,-39.9155058682,1431,90.9908544869,-27.4389488088,90.3395887994,-26.4340381319
1449303,2,1.17800122679,58.803991,79.3910947414,60.3121158255,20.678294,20.721771,0.592324,1.151099,61.2401928621,-39.9007808529,1447,94.0409380135,-26.9236878637,93.6789557789,-27.8883196075
1449328,2,4.40146178219,58.676928,77.0502756694,63.8248054759,20.684315,20.727454,0.592324,1.114271,61.3067705579,-39.3765244704,1447,94.0409380135,-26.9236878637,94.8476706557,-27.2411637779
1449329,2,4.52900218739,58.671869,75.9758079162,66.7245448771,20.727242,20.770367,0.592324,1.088596,63.7872194446,-39.3491370878,1431,90.9908544869,-27.4389488088,90.8863343493,-27.568322679
1449330,2,4.65654259259,58.666809,74.9680324503,69.6310451802,20.76601,20.809121,0.592324,1.066701,66.2874353752,-39.3216351136,1413,87.901867126,-27.8835640578,88.9301317835,-29.0238646617
1449554,2,32.7307297089,57.429108,167.72531582,79.7011222043,20.483497,20.523308,0.592324,1.016376,59.2000047452,-21.5226439121,1568,95.1401002477,-23.8813965631,95.9076277723,-24.0279018713
1449556,2,32.9241602605,57.418783,176.545141639,77.4885310869,20.505987,20.54577,0.592324,1.024326,61.7633033291,-21.2902522304,1564,92.1208418505,-24.4157942986,92.9477129821,-24.8350275173
1449557,2,33.0263186354,57.413311,188.353458022,85.0138733597,20.496347,20.536115,0.592324,1.003799,59.3822626198,-21.1817913198,1365,99.2852207124,-28.7786387254,97.8098230379,-28.2627475267
1449558,2,33.1320293486,57.407631,197.856650604,82.3911017567,20.520197,20.559951,0.592324,1.008884,61.8307404615,-21.0664549156,1333,96.2172036068,-29.4075744971,95.8526384864,-27.9273380334
1449559,2,33.2284008497,57.40244,201.698046141,79.6109386474,20.540028,20.579767,0.592324,1.016668,64.2980686147,-20.9465921448,1323,93.1078762442,-29.9663229389,93.1859179456,-29.9675261503
1449560,2,33.3223086323,57.397365,203.274482219,76.7805271394,20.555741,20.595468,0.592324,1.027221,66.786424319,-20.8368134313,1305,89.9551759765,-30.452764107,89.8653820652,-31.5655054409
1450296,2,32.1826955778,45.900469,261.594481086,78.0086048775,20.840721,20.833818,0.763125,1.022309,67.7840011361,-18.1946758548,1333,96.2172036068,-29.4075744971,95.5721936598,-29.9878088562
1450298,2,32.4193271472,45.889806,275.121212488,79.7483912224,17.259118,17.252145,0.763125,1.016224,67.0723875545,-17.9571848488,1234,98.5356773248,-31.8503800566,98.3472835807,-30.8585328175
1450299,2,32.5319706497,45.88472,275.054462905,76.8774143026,17.259504,17.252498,0.763125,1.026814,69.750907951,-17.8457445576,1220,95.3622932807,-32.459147714,94.9554795119,-33.0985686133
1450300,2,32.6444422649,45.879632,274.400832652,73.9942333817,17.259726,17.252686,0.763125,1.04033,72.4399707709,-17.7341323791,1212,92.1411245564,-32.9919984634,92.1298532101,-31.6163267973
1451588,2,-4.06800034543,16.196617,196.297288668,84.3044370178,21.524923,21.325906,0.645203,1.004962,97.2224580583,-30.8242126456,1542,89.0888637902,-24.8893439163,88.579587513,-24.9927055025
1451614,2,0.279488812465,16.077685,226.568539746,81.4877764969,21.491899,21.292288,0.645203,1.011139,97.3513735622,-28.067254327,1542,89.0888637902,-24.8893439163,90.0522126406,-24.0009155591
1453663,2,-30.487313462,0.966359,79.7497090254,75.8084469442,21.559924,21.279924,0.528621,1.03148,110.214734429,-36.3769758213,1220,95.3622932807,-32.459147714,96.8077689434,-32.4062637095
1454245,2,-34.8140615477,0.151145,67.7636611343,60.0436278028,21.463685,21.183685,0.728769,1.154196,123.430750819,-38.2942071954,1564,92.1208418505,-24.4157942986,91.8587675591,-25.1616134605
1454293,2,-34.7862730947,0.156056,62.5689965806,67.730486878,21.51971,21.23971,0.728769,1.080602,123.626301314,-38.3537948061,1564,92.1208418505,-24.4157942986,91.4133985713,-25.9000987627
1454296,2,-34.7492600211,0.15637,57.3968492681,64.5289133104,21.498546,21.218546,0.728769,1.107664,119.593767057,-38.3135158731,1464,97.0530344383,-26.341505448,95.9330317532,-26.3141753612
1454329,2,-34.1011301633,0.160081,56.3118390915,77.5274922169,21.566116,21.286116,0.728769,1.024171,122.493162683,-37.5991520941,1413,87.901867126,-27.8835640578,87.9615677974,-27.9322081746
1456483,2,-32.6560733082,9.860164,94.6988081539,77.5807199961,21.566295,21.286295,0.593176,1.023961,127.27128692,-35.1807545366,1365,99.2852207124,-28.7786387254,97.9190560691,-28.6096161758
1456484,2,-32.708097876,9.862758,92.163584502,80.4668802975,21.574824,21.294824,0.593176,1.014004,126.225524352,-35.1314228705,1333,96.2172036068,-29.4075744971,95.883945179,-29.7339312572
1456485,2,-32.7597786691,9.865352,88.7022318701,83.3521238665,21.581087,21.301087,0.593176,1.00677,125.095193214,-35.0816901338,1323,93.1078762442,-29.9663229389,92.5803672521,-30.7411910611
1456486,2,-32.8116886453,9.867977,82.3074499186,86.2279136318,21.585098,21.305098,0.593176,1.002171,123.883272886,-35.0315563268,1305,89.9551759765,-30.452764107,89.2800267905,-29.2655382597
1456527,2,-34.8295314082,9.990336,93.9698339512,84.505774387,21.582963,21.302963,0.593176,1.004616,127.288475654,-32.2550601473,1365,99.2852207124,-28.7786387254,97.7275877577,-28.3675415074
1456537,2,-35.2818242917,10.027657,302.324732939,86.21381887,21.585084,21.305084,0.593176,1.002188,121.92736686,-31.3960818209,1212,92.1411245564,-32.9919984634,91.4521378969,-32.4706641657
1456538,2,-35.3277182111,10.03185,261.952637004,85.0469903202,21.58372,21.30372,0.593176,1.003748,123.82591981,-31.1784724503,1305,89.9551759765,-30.452764107,89.7617634808,-29.6530869123
