obshistid,expmjd,filter,rotskypos,start_run,end_run,altitude,rawseeing,airmass,moonalt,moonphase,dist2moon,sunalt,cputime,hostname,cputime_fell,runlimit,vskybright,filtskybrightness
 947261,60966.15625,0,107.6346970,57449.516,57449.738,54.66641998, 0.6821410, 1.2257960,-56.55924225, 9.9349136, 115.3824692,-48.79222488, 18164.25,0,  18164.25,0,21.413511,22.073511
 948974,60970.17188,0,128.7271118,57449.516,57449.668,63.13232803, 0.6486650, 1.1210120,-42.22131729, 0.5837670, 131.6677094,-48.40106964, 10779.37,3,  18432.72,0,21.488354,22.148354
 949531,60971.12500,0, 97.9984741,57449.516,57449.723,49.26955795, 0.5876460, 1.3196350,-27.94515610, 2.6580970, 130.9571228,-43.41455841, 16779.32,0,  16779.32,0,21.353420,22.013420
 950326,60972.12500,0,109.1874695,57449.516,57449.660,49.57110596, 0.7677640, 1.3136990,-18.33934784, 6.4642448, 128.3679352,-42.84366226, 10580.82,3,  18093.20,0,21.357046,22.017046
 951141,60973.12891,0,135.0259857,57449.516,57449.680,51.39849854, 0.3839270, 1.2795870, -9.70888424,11.8351364, 124.0508041,-43.03050613, 10311.61,3,  17632.85,0,21.364307,22.024307
 951982,60974.14844,0, 94.7204056,57449.516,57449.660,58.78753281, 0.5661450, 1.1692491, -5.54067373,18.7220840, 118.2839890,-45.35287476, 11069.37,3,  18928.62,0,21.383657,21.633646
 952716,60975.12500,2,180.0754242,57449.516,57450.699,51.97999191, 0.5968720, 1.2693681,  9.94563103,26.4586182, 111.7447052,-41.89484406, 83140.17,0,  83140.17,0,21.150869,21.016380
 952726,60975.12891,1,180.0754242,57449.516,57450.895,53.69405365, 0.5968720, 1.2409030,  8.45863342,26.5053673, 111.7136459,-42.71509171,106431.09,0, 106431.09,0,21.177202,21.405439
 952746,60975.14062,3,180.0754242,57449.516,57450.219,56.70477295, 0.5968720, 1.1963850,  5.88032293,26.5873985, 111.6577301,-43.99559402, 59969.20,0,  59969.20,0,21.220171,20.106525
 952772,60975.15234,4,180.0754242,57449.516,57450.121,60.49993134, 0.5968720, 1.1489580,  2.69313073,26.6907043, 111.5844498,-45.29867172, 45448.17,3,  77716.38,0,21.265739,19.332771
 952792,60975.16016,5,180.0754242,57449.516,57451.188,63.52217102, 0.5968720, 1.1171870,  0.20729613,26.7729454, 111.5238266,-46.07119370,116306.14,0, 116306.14,0,21.292765,17.299999
 955064,60978.12500,2,178.7591553,57449.516,57452.043,55.13687515, 0.8754310, 1.2187430, 36.57556152,55.1498337,  87.9888992,-41.31667328,216839.22,0, 216839.22,0,20.567924,20.601658
 955074,60978.13281,1,178.7591553,57449.516,57452.977,56.85523224, 0.8754310, 1.1943300, 34.88797379,55.2064629,  87.9588165,-42.09772873,297439.16,3, 508620.97,0,20.590113,20.601023
 955094,60978.14062,3,178.7591553,57449.516,57451.344,59.87225723, 0.8754310, 1.1561940, 31.93511963,55.3057518,  87.9044418,-43.30850601,122871.67,0, 122871.67,0,20.627768,19.699602
 955120,60978.15234,4,178.7591553,57449.516,57450.773,63.67308807, 0.8754310, 1.1157269, 28.23398590,55.4306488,  87.8330536,-44.52340317, 98163.11,0,  98163.11,0,20.673433,18.936878
 955140,60978.16406,5,178.7591553,57449.516,57451.559,66.69750214, 0.8754310, 1.0888170, 25.30376434,55.5299568,  87.7738113,-45.22716904,128422.34,0, 128422.34,0,20.708963,17.299999
 956764,60981.12500,2,104.2537308,57449.516,57454.516,58.06732559, 0.8306300, 1.1783170, 53.79970551,84.2630539,  62.9908638,-40.62832260,431483.75,0, 623137.62,1,19.549625,19.694387
 956774,60981.13281,1,104.2537308,57449.516,57454.516,59.78883362, 0.8306300, 1.1571730, 52.58096695,84.3092041,  62.9730453,-41.38067245,412223.56,0, 932063.88,1,19.566965,19.428791
 956794,60981.14062,3,104.2537308,57449.516,57454.516,62.81021118, 0.8306300, 1.1242321, 50.32735062,84.3899918,  62.9409599,-42.54137039,420179.38,0, 334551.88,1,19.595518,18.883562
 956820,60981.15234,4,104.2537308,57449.516,57451.164,66.61390686, 0.8306300, 1.0895030, 47.31445312,84.4914017,  62.8988495,-43.69502258,126901.04,3, 217000.78,0,19.628361,18.173698
 956840,60981.16406,5,104.2537308,57449.516,57451.520,69.63774872, 0.8306300, 1.0666550, 44.80289459,84.5718613,  62.8637848,-44.35271835,167236.64,0, 167236.64,0,19.652296,17.299999
 959459,60992.13281,2,117.8273926,57449.516,57450.195,69.80172729, 0.8030270, 1.0655280,-36.11198425,40.0297928, 106.1290894,-38.59529495, 50588.36,0,  50588.36,0,21.531797,21.251799
 959469,60992.14062,1,117.8273926,57449.516,57450.297,71.52478790, 0.8030270, 1.0543410,-34.45378494,39.9742393, 106.1891327,-39.22365952, 43820.57,0,  43820.57,0,21.540911,21.950911
 959489,60992.14844,3,117.8273926,57449.516,57450.719,74.53859711, 0.8030270, 1.0375500,-31.53834724,39.8769035, 106.2927246,-40.16623306, 54974.77,0,  54974.77,0,21.554825,20.194824
 959515,60992.16016,4,117.8273926,57449.516,57450.043,78.30253601, 0.8030270, 1.0212090,-27.86030197,39.7545700, 106.4199753,-41.04887390, 41491.76,3,  70950.91,0,21.568642,19.418640
 959535,60992.17188,5,117.8273926,57449.516,57451.008,81.24513245, 0.8030270, 1.0117890,-24.93031120,39.6573830, 106.5186386,-41.49847412,110493.82,0, 110493.82,0,21.576735,17.299999
 961585,60995.05859,0,112.5234070,57449.516,57449.762,48.59724808, 0.5856220, 1.3331960,-55.39894485,14.8661709, 125.0282135,-23.94235992, 16935.04,0,  16935.04,0,21.345219,22.005219
 962352,60996.06250,0, 99.1668472,57449.516,57449.719,50.38533401, 0.7353290, 1.2981150,-48.89186478, 8.7474937, 129.0795441,-24.43389893, 16810.03,0,  16810.03,0,21.366676,22.026676
 963189,60997.10547,0, 94.1955185,57449.516,57449.742,65.11951447, 0.9959900, 1.1023099,-44.50289154, 4.0398421, 131.4333649,-33.19459534, 17805.93,0,  17805.93,0,21.502680,22.162680
 963828,60998.05859,0,126.6612473,57449.516,57449.730,51.13086700, 0.5321160, 1.2843910,-32.14866257, 1.3343350, 131.3949280,-23.31674576, 16418.23,0,  16418.23,0,21.375286,22.035288
 964548,60999.05078,0, 93.6486359,57449.516,57449.719,49.27952576, 0.4701710, 1.3194370,-21.43561172, 0.1939060, 129.4789581,-21.07121086, 16787.71,0,  16787.71,0,21.353540,22.013540
